ID;Title;Barrier Reported?;Barrier Category;Description
1;A bidirectional lstm language model for code evaluation and repair;Yes;Robustness and reliability;The BiLSTM model was not perfect, having falsely identified as erroneous code that was actually correct. Some incorrect advice was also produced.
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;Yes;Data dependency and generalization;The generalization of the results should be made with caution. Mapping features to individual programming concepts is not a straightforward task.
3;A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading;Yes;Robustness and reliability;Models may sometimes produce inaccurate or inappropriate grades due to inherent limitations of the training dataset, as well as the complexity and creativity of programming tasks.
4;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;Yes;Data dependency and generalization;The autograder failed to capture errors where multiple blocks were removed at the same time, probably because its training data did not include such programs.
5;A Knowledge-Component-Based Methodology for Evaluating AI Assistants;Yes;Pedagogical risks and misuse;Even under controlled use, such as instructor-built AI assistants, these tools open the door to overdependence and, as a result, impaired critical problem-solving skills.
6;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;No;Not reported;The text describes the limitations of existing methods as motivation, but does not acknowledge specific AI failures in its own approach in the provided excerpts.
7;A model with iterative trials for correcting logic errors in source code;Yes;Robustness and reliability;When correction candidates are restricted to the top of the list, the true logical error may sometimes be missed. The probabilities obtained from the CCM may not be sufficient as a metric for selecting a correction candidate.
8;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;Yes;Data dependency and generalization;The limitations of this study concern the average severity degree assigned to each incorrect test response. Another limitation is the number of types of learning activities, which could be extended.
9;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;No;Not reported;The article focuses on the superiority of the GccvFL technique over the others, without reporting technical barriers or failures in its performance in the described experiments.
10;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;Yes;Data dependency and generalization;The item frequency distribution follows a long-tail or exponential distribution. This item distribution creates challenges in developing an efficient recommendation system.
11;A Personalized Learning Framework for Software Vulnerability Detection and Education;No;Not reported;The text describes the framework and students' positive perception, without pointing out limitations of the AI-based detection system.
12;A Study of Automated Evaluation of Programming Short-Answer Questions Based on Large Language Models;Yes;Robustness and reliability;The superiority of GPT-4o's kappa is accompanied by higher variance, reflecting greater sensitivity to input variations and a potential need for careful prompt tuning in practice.
13;AceCoder: An Effective Prompting Technique Specialized in Code Generation;Yes;Data dependency and generalization;AceCoder's performance may degrade when confronted with rare software libraries. It may be difficult to retrieve relevant programs when the requirements involve rare third-party libraries.
14;Advanced Deep Learning Model for Improving Student Evaluation in Programming Education;Yes;Data dependency and generalization;If embeddings are trained on a limited dataset, they may not generalize well to submissions from diverse environments or coding styles.
15;Ai-Based Automated Grading of Source Code of Introductory Programming Assignments;Yes;Robustness and reliability;In an educational environment, selecting the wrong grade almost 20% of the time is still unacceptable if it is shown directly to students.
16;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;Yes;Robustness and reliability;The AI tutor responses were perceived as too generic. Among the unhelpful responses, four were hallucinations and 13 were too general to be useful in the student's situation.
17;An AI-based Approach for Grading Students’ Collaboration;Yes;Data dependency and generalization;The system can provide appropriate recommendations as long as teachers cover other aspects not addressed by the rubrics: code quality, plagiarism, and project completion.
18;An Evaluation of code2vec Embeddings for Scratch;Yes;Data dependency and generalization;We observed a sharp drop in accuracy when ignoring literals. The sprite naming task is somewhat more challenging, since the name probably carries less semantic information than a descriptive method name.
19;Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments;Yes;Robustness and reliability;An accuracy of 59.30% implies that when GreAIter identifies an error, it is correct only slightly more than half of the time, indicating a tendency toward false positives. It may be overly critical or prone to hallucinations.
20;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;No;Not reported;The article proposes a modular ecosystem and highlights opportunities for expansion, but does not report barriers or failures in the AI applied in the preliminary results.
21;Automated Assessment of Student Self-explanation During Source Code Comprehension;Yes;Data dependency and generalization;The model fails in many cases, such as when students provide correct explanations in language that differs substantially from the expected pattern. More domain-specific semantic representations are needed to better handle these cases.
22;Automated Assessment of Student Self-Explanation in Code Comprehension Using Pre-Trained Language Models;Yes;Data dependency and generalization;The models struggled to accurately evaluate longer, multi-sentence explanations, particularly when students elaborated on concepts not explicitly mentioned in the expert explanation.
23;Automated Grading Method of Python Code Submissions Using Large Language Models and Machine Learning;Yes;Robustness and reliability;For very low scores, below 20, the model tends to slightly overestimate student performance, while for high scores, above 90, it tends to slightly underestimate it.
24;Automated Grading Through Contrastive Learning: A Gradient Analysis and Feature Ablation Approach;Yes;Data dependency and generalization;The framework is trained on a limited amount of data and uses only PostgreSQL solutions. This restriction makes it difficult to generalize the findings to other SQL dialects.
25;Automatic Creativity Measurement in Scratch Programs Across Modalities;Yes;Robustness and reliability;Our results show that opinions about creativity in Scratch varied widely among experts. Measuring creativity is notoriously difficult because it is highly context-dependent.
26;Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses;Yes;Robustness and reliability;LLM outputs may vary from time to time, which can affect the reported accuracy of automatic correction.
27;Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation;Yes;Data dependency and generalization;The work did not leverage problem-specific historical data when generating hints. The models still struggle with symbolic reasoning and program execution skills.
28;BeGrading: large language models for enhanced feedback in programming education;Yes;Robustness and reliability;Compared with the Codestral model, our proposed model shows an absolute difference rate of 19%, which is acceptable for the use of a small fine-tuned model.
29;Beyond Generating Code: Evaluating GPT on a Data Visualization Course;Yes;Robustness and reliability;GPT cannot reason about the relationship among the multiple code files it generates. GPT's unstable output may require multiple attempts to generate satisfactory results.
30;Can Language Models Employ the Socratic Method? Experiments with Code Debugging;Yes;Robustness and reliability;GPT-3.5 tends to generate many poor Socratic questions, false positives, that may contain keywords in common with the reference answer but are irrelevant. GPT-4 generated responses that reveal the bug too early, reducing the learning challenge.
31;Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?;Yes;Infrastructure constraints;Current limitations include the lack of practical deployment and direct student feedback. The development of the IC, Intelligence Concentration, framework is still ongoing.
32;ChatGPT and Software Testing Education: Promises & Perils;Yes;Robustness and reliability;The correctness of responses is affected by nondeterminism in 9.7% of the questions. ChatGPT does not appear to know how to determine whether a test suite satisfies a coverage criterion.
33;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;Yes;Data dependency and generalization;ChatGPT struggles with programming exercises containing non-textual descriptions or class files, generating invalid solutions. There were inconsistencies in ChatGPT's interpretation of code regarding logical and increment operators.
34;ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.;Yes;Robustness and reliability;ChatGPT shows inconsistencies and tends to answer basic questions incorrectly. It sometimes ignores what was discussed earlier, focusing only on the most recent information provided by the user.
35;CodeLens: A Generative AI Framework for Automated Feedback on SQL Assignments;Yes;Robustness and reliability;Easy questions may still require multiple submissions, even with AI assistance, showing how small gaps in query logic can inflate the number of attempts regardless of difficulty.
36;CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming;Yes;Robustness and reliability;CodeTailor occasionally generates complicated solutions that exceed learners' current knowledge level. The average 10-second wait time to load help was considered long by some students.
37;Cognitive Complexity and Graph Convolutional Approach Over Control Flow Graph for Software Defect Prediction;Yes;Data dependency and generalization;The limited number of analyzed programs is a threat to external validity. We cannot guarantee that the extracted program functionality is sufficient to affect model performance.
38;Collaborative recommendations in online judges using autoencoder neural networks;No;Not reported;The article reports promising results and describes the architecture without detailing specific barriers to the use of AI in the experiments conducted.
39;Combating ChatGPT-Based Programming Test Cheating — An Evaluation Using Public Problems;Yes;Robustness and reliability;ChatGPT appears to have an overfitting problem, since it understands and uses elements not explicitly mentioned in the prompt. ChatGPT failed to produce correct solutions when we introduced simple modifications to existing problems.
40;Comparative Studies: Leveraging Large Language Model In Theoritical and Practical Assessment Sample Question-Answer Bank on Programming Related Subjects;Yes;Robustness and reliability;LLMs may generate factually incorrect or misleading information and exhibit biases present in their training data.
41;Comparing computational algorithms for team formation in the classroom: a classroom experience;Yes;Data dependency and generalization;Forming balanced Belbin teams may be more difficult than forming MBTI teams in a classroom environment due to role imbalance in the student population.
42;Creating a Trajectory for Code Writing: Algorithmic Reasoning Tasks;No;Not reported;The article presents the validation of the ART tool and good accuracy results, without listing limitations of AI in the proposed approach.
43;CS1-LLM: Integrating LLMs into CS1 Instruction;Yes;Pedagogical risks and misuse;Some students reported concerns about overdependence on the tool. Copilot sometimes offers sophisticated solutions that are beyond the scope of an introductory course.
44;Data Leakage in Notebooks: Static Detection and Better Processes;Yes;Data dependency and generalization;The prototype did not detect problems due to unsupported libraries, loading models from external storage, or inaccurate type inference. In an adversarial scenario, it is easy to fool our analysis using coding patterns that exceed the tool's capabilities.
45;DEMAx Tool Based on an Improved Model for Semiautomatic C/C++ Source Code Assessment;Yes;Robustness and reliability;Because clustering methods produce different results for different tasks, we suggest providing examiners with all the data so they can decide.
46;Desirable Characteristics for AI Teaching Assistants in Programming Education;Yes;Robustness and reliability;Tools such as ChatGPT fail to consider the student's level of expertise, resulting in confusing and unhelpful programming patterns. They may suggest solutions that are much more complex than a beginner can understand.
47;Enhancing Programming Education with Open-Source Generative AI Chatbots;Yes;Robustness and reliability;Parameter selection can significantly affect response accuracy for more complex questions. Context size significantly affects response time.
48;Enhancing Programming Error Messages in Real Time with Generative AI;Yes;Robustness and reliability;AI feedback was often considered too vague. In one case, it provided feedback to change a line of code that produced a new compilation error.
