Paper ID;Title;Feedback provide;Feedback type;Classification rationale
1;A bidirectional lstm language model for code evaluation and repair;Yes;Procedural;Detects errors + suggests context-based corrections
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;Yes;Corrective;Indirect feedback through automated assessment, with no student guidance
3;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;Yes;Corrective;Feedback for graders/instructors, not for students
4;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;Yes;Procedural;Personalized and gradual, directs exercises to address deficiencies
5;A model with iterative trials for correcting logic errors in source code;Yes;Procedural;Iterative and gradual, locates errors + candidate fixes
6;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;Yes;Procedural;Locates error + suggests candidate fixes - step-by-step guidance
7;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;Yes;Corrective;Only locates faults, without detailed explanation
8;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;Yes;Procedural;Personalized: identifies weaknesses and directs specific study activities
9;A Personalized Learning Framework for Software Vulnerability Detection and Education;Yes;Procedural;Structured in phases with exercises targeted at deficiencies
10;AceCoder: An Effective Prompting Technique Specialized in Code Generation;No;Not applicable;Does not provide explicit feedback - guides the LLM through examples
11;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;Yes;Procedural;Supports understanding, guides implementation - AI tutor
12;An AI-based Approach for Grading Students’ Collaboration;Yes;Explanatory;HTML reports for teachers with descriptive analysis
13;An Evaluation of code2vec Embeddings for Scratch;No;Not applicable;Does not provide feedback - results used as a basis for other tasks
14;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;No;Not applicable;Does not provide direct feedback - personalizes course content
15;Automated Assessment of Student Self-explanation During Source Code Comprehension;Yes;Explanatory;Identifies and describes gaps in code comprehension
16;Automatic Creativity Measurement in Scratch Programs Across Modalities;No;Not applicable;Study discusses the possibility of feedback but does not implement it
17;Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses;Yes;Corrective;Only immediate performance feedback
18;Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation;Yes;Procedural;Human-tutor style with hints to make progress
19;Beyond Generating Code: Evaluating GPT on a Data Visualization Course;No;Not applicable;Evaluation of GPT, does not provide feedback to students
20;Can Language Models Employ the Socratic Method? Experiments with Code Debugging;Yes;Procedural;Socratic method - guided questions to identify errors
21;Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?;Yes;Procedural;Supports problem solving with guidance
22;ChatGPT and Software Testing Education: Promises & Perils;Yes;Explanatory;ChatGPT provides explanatory feedback on answers
23;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;Yes;Explanatory;ChatGPT explains answers to varied questions
24;ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.;Yes;Explanatory;Supports understanding and correction - explains generated solutions
25;CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming;Yes;Procedural;Interactive hints while assembling code solutions
26;Cognitive Complexity and Graph Convolutional Approach Over Control Flow Graph for Software Defect Prediction;No;Not applicable;GCN-DNN model does not provide direct feedback
27;Collaborative recommendations in online judges using autoencoder neural networks;No;Not applicable;Only task recommendations
28;Combating ChatGPT-Based Programming Test Cheating — An Evaluation Using Public Problems;No;Not applicable;Evaluates ChatGPT-generated solutions, does not provide feedback
