#;Title;Does the study clearly define its objectives and research questions?;Is the study methodology appropriate to answer the research questions? This includes the description of the methods and techniques used, such as algorithms or tools.;Is the context in which the study was conducted clearly described? This includes information about the environment, data, and conditions under which the study was carried out.;Does the study consider threats to internal validity, such as bias and measurement errors, and describe how these threats were mitigated?;Are the study results generalizable to other contexts or domains? Does the study consider the applicability of the results in other scenarios?;Are the study results presented clearly and transparently, with adequate support for the conclusions?;Are the study conclusions well supported by the reported results, without undue extrapolations?;Does the study provide enough information for other researchers to reproduce the experiment or simulation? This includes details about the data, tools, and procedures used.;Does the study present an original contribution to the field? Are the relevance and novelty of the study clearly discussed and justified?;Does the study address relevant ethical issues, such as informed consent, data privacy, and transparency in the results?;FINAL SCORE
1;A bidirectional lstm language model for code evaluation and repair;1;1;0,5;0;0,5;1;1;0,5;1;0,5;7
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;1;1;0,5;1;0,5;1;1;0,5;1;0;7,5
3;A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading;1;1;1;0,5;0,5;1;1;0,5;0,5;0,5;7,5
4;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;1;1;1;1;1;1;1;1;1;0;9
5;A Knowledge-Component-Based Methodology for Evaluating AI Assistants;1;1;1;0,5;0,5;1;1;0,5;1;0,5;8
6;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;1;1;1;0;0;1;1;1;1;0;7
7;A model with iterative trials for correcting logic errors in source code;1;1;1;0,5;0,5;1;1;1;1;0,5;8,5
8;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;1;1;1;0;0;1;1;0,5;1;0;6,5
9;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;1;0,5;1;0;0,5;1;1;1;1;0;7
10;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;1;1;1;0;0,5;1;1;1;1;0,5;8
11;A Personalized Learning Framework for Software Vulnerability Detection and Education;1;1;1;0;1;1;1;1;1;0;8
12;A Study of Automated Evaluation of Programming Short-Answer Questions Based on Large Language Models;1;1;1;0,5;0,5;1;1;0,5;0,5;0,5;7,5
13;AceCoder: An Effective Prompting Technique Specialized in Code Generation;1;1;1;1;1;1;1;1;1;0;9
14;Advanced Deep Learning Model for Improving Student Evaluation in Programming Education;1;1;1;0,5;0,5;1;0,5;0,5;0,5;0;6,5
15;Ai-Based Automated Grading of Source Code of Introductory Programming Assignments;1;1;1;0,5;0,5;1;0,5;0,5;1;0;7
16;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;1;1;1;1;1;1;1;1;1;1;10
17;An AI-based Approach for Grading Students’ Collaboration;1;1;1;1;1;1;1;1;1;1;10
18;An Evaluation of code2vec Embeddings for Scratch;1;1;1;1;1;1;1;1;0,5;0;8,5
19;Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments;1;1;1;1;0,5;1;0,5;0,5;0,5;0,5;7,5
20;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;1;1;1;0;1;1;1;1;1;0;8
21;Automated Assessment of Student Self-explanation During Source Code Comprehension;1;1;1;0,5;0;0;1;0,5;1;0;6
22;Automated Assessment of Student Self-Explanation in Code Comprehension Using Pre-Trained Language Models;1;1;1;0,5;0,5;1;1;0,5;0,5;0;7
23;Automated Grading Method of Python Code Submissions Using Large Language Models and Machine Learning;1;1;0,5;0,5;0,5;1;0,5;0,5;0,5;0;6
24;Automated Grading Through Contrastive Learning: A Gradient Analysis and Feature Ablation Approach;1;1;1;0,5;0,5;1;0,5;1;1;0,5;8
25;Automatic Creativity Measurement in Scratch Programs Across Modalities;1;1;1;0,5;0,5;0,5;1;0,5;1;0,5;7,5
26;Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses;1;1;1;0,5;0,5;0,5;1;0,5;1;0;7
27;Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation;1;1;1;0,5;0,5;0,5;1;1;1;0;7,5
28;BeGrading: large language models for enhanced feedback in programming education;1;1;1;0;0,5;1;0,5;0,5;0,5;0;6
29;Beyond Generating Code: Evaluating GPT on a Data Visualization Course;1;0,5;1;1;1;1;1;0,5;1;0,5;8,5
30;Can Language Models Employ the Socratic Method? Experiments with Code Debugging;1;0,5;1;0,5;0,5;1;1;0,5;1;0;7
31;Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?;1;0,5;1;0,5;0,5;0,5;1;0,5;1;0,5;7
32;ChatGPT and Software Testing Education: Promises & Perils;1;0,5;1;1;0,5;1;1;1;1;0,5;8,5
33;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;1;0,5;1;0,5;0;1;1;0,5;1;0,5;7
