ID;Title;Measures Learning?;Study Design;Measurement Base;Reported Outcome;Robust Evidence?
1;A bidirectional lstm language model for code evaluation and repair;No;—;—;—;No
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;No;—;—;—;No
3;A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading;No;—;—;—;No
4;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;No;—;—;—;No
5;A Knowledge-Component-Based Methodology for Evaluating AI Assistants;Yes;quasi-experiment;proxy_usage;positive;No
6;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;Yes;quasi-experiment;objective_score;positive;Yes
7;A model with iterative trials for correcting logic errors in source code;No;—;—;—;No
8;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;Yes;quasi-experiment;course_grade;positive;Yes
9;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;No;—;—;—;No
10;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;No;—;—;—;No
11;A Personalized Learning Framework for Software Vulnerability Detection and Education;Yes;experience report;perception_only;positive;No
12;A Study of Automated Evaluation of Programming Short-Answer Questions Based on Large Language Models;No;—;—;—;No
13;AceCoder: An Effective Prompting Technique Specialized in Code Generation;No;—;—;—;No
14;Advanced Deep Learning Model for Improving Student Evaluation in Programming Education;No;—;—;—;No
15;Ai-Based Automated Grading of Source Code of Introductory Programming Assignments;No;—;—;—;No
16;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;Yes;experience report;perception_only;inconclusive;No
17;An AI-based Approach for Grading Students’ Collaboration;No;—;—;—;No
18;An Evaluation of code2vec Embeddings for Scratch;No;—;—;—;No
19;Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments;No;—;—;—;No
20;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;No;—;—;—;No
21;Automated Assessment of Student Self-explanation During Source Code Comprehension;No;—;—;—;No
22;Automated Assessment of Student Self-Explanation in Code Comprehension Using Pre-Trained Language Models;No;—;—;—;No
23;Automated Grading Method of Python Code Submissions Using Large Language Models and Machine Learning;No;—;—;—;No
