ID;Title;Reports Ethics?;Topics Covered;Reporting Depth;Evidence Excerpt
1;A bidirectional lstm language model for code evaluation and repair;No;—;—;
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;Yes;Privacy and data protection;Procedural;"""In the collection phase, the GitLab repositories were crawled, and all privacy information was removed and replaced by a unique ID to consider the students’ privacy."""
3;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;No;—;—;
4;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;No;—;—;
5;A model with iterative trials for correcting logic errors in source code;No;—;—;
6;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;No;—;—;
7;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;No;—;—;
8;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;Yes;Consent / IRB approval;Procedural;"Ethics Approval. This research was approved by the Research Ethics Examination Boards, The University of Aizu, Japan."""
9;A Personalized Learning Framework for Software Vulnerability Detection and Education;No;—;—;
10;AceCoder: An Effective Prompting Technique Specialized in Code Generation;No;—;—;
11;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;Yes;Privacy and data protection;Procedural;"It is essential to note that all personal identifiers have been removed to maintain confidentiality and adhere to data protection principles."""
12;An AI-based Approach for Grading Students’ Collaboration;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;Invited adult subjects were informed about the purpose and conditions for participation in the course and the research that followed it, and gave their signed consent. They were protected by hiding all their personal information except their email addresses and GitHub usernames.
13;An Evaluation of code2vec Embeddings for Scratch;No;—;—;
14;Artificial Intelligence in the Assessment Process of MOOCs using a cloud-computing ecosystem;No;—;—;
15;Automated Assessment of Student Self-explanation During Source Code Comprehension;No;—;—;
16;Automatic Creativity Measurement in Scratch Programs Across Modalities;Yes;"Fairness and bias; Learner dependency and pedagogical risk";Mention only;Finally, any scheme for (automated) assessment raises ethical issues, such as fairness, and ought to be implemented with care. Future work should investigate how creativity assessment impacts students, for example, with respect to their confidence and self-image.
17;Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses;No;—;—;
18;Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation;No;—;—;
19;Beyond Generating Code: Evaluating GPT on a Data Visualization Course;Yes;Fairness and bias;Analytical;As these models learn from vast amounts of data on the internet, they may inadvertently perpetuate biases present in these datasets. It is crucial to approach these tools with a discerning mindset, ensuring that the visualizations they inform are free from unintentional prejudice and promote inclusivity.
20;Can Language Models Employ the Socratic Method? Experiments with Code Debugging;No;—;—;
21;Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science?;Yes;"Privacy and data protection; Security";Analytical;The localized approach ensures that educational content remains within a controlled and secure institutional environment, addressing major concerns about data security and privacy in the use of Generative AI for educational purposes. For example, conversation data between the student and the model will not be sent, stored, or reused elsewhere
22;ChatGPT and Software Testing Education: Promises & Perils;Yes;Academic integrity and misuse;Mention only;While concerns over student’s use of ChatGPT to circumvent assessments represent one potential peril, our findings still raise immediate concerns on how the use of ChatGPT might be detected to ensure that questions are meaningfully assessing students’ understanding of course materials.
23;ChatGPT in the Classroom: An Analysis of Its Strengths and Weaknesses for Solving Undergraduate Computer Science Questions;Yes;Academic integrity and misuse;Mention only;"""However, using such models in assessments raises concerns about examination integrity. ... educators can design coding exercises that minimize the potential for misuse as a cheating aid while maintaining their validity as assessment tools."""
24;ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.;Yes;"Academic integrity and misuse; Learner dependency and pedagogical risk";Mention only;ChatGPT’s usage in tasks such as solving assignments and exams has the potential to undermine students’ learning outcomes and compromise academic integrity. Some students have expressed concern that such a tool could stifle their creativity and critical thinking skills
25;CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;We had IRB (Institutional Review Board) permission to analyze students’ anonymous code. ... The think-aloud study started after checking ages and obtaining verbal consent to record
26;Cognitive Complexity and Graph Convolutional Approach Over Control Flow Graph for Software Defect Prediction;No;—;—;
27;Collaborative recommendations in online judges using autoencoder neural networks;No;—;—;
28;Combating ChatGPT-Based Programming Test Cheating — An Evaluation Using Public Problems;Yes;Academic integrity and misuse;Mention only;While these tools offer valuable assistance to educators and students in teaching and learning activities, there is a growing concern about their potential misuse by students for cheating in assessments.
29;Comparative Studies: Leveraging Large Language Model In Theoritical and Practical Assessment Sample Question-Answer Bank on Programming Related Subjects;Yes;Fairness and bias;Analytical;LLMs are trained on massive datasets, raising crucial concerns about potential biases. Since models may reflect biases within their training data, dataset curation is paramount in mitigating harmful stereotypes or misinformation.
30;Comparing computational algorithms for team formation in the classroom: a classroom experience;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;The study was approved by the Ethical Committee of Universitat Politècnica de Valencia. Informed consent was obtained from all participants prior to their inclusion in the study. ... Participants were also informed about the measures taken to ensure the confidentiality and privacy of their data
31;Creating a Trajectory for Code Writing: Algorithmic Reasoning Tasks;Yes;Privacy and data protection;Procedural;The data was encrypted to hide any student’s identifying information to ensure privacy and confidentiality.
32;CS1-LLM: Integrating LLMs into CS1 Instruction;Yes;Consent / IRB approval;Procedural;Use of student data for this work is approved by our Human Subjects Board. ... In an end-of-term survey, students reported that they appreciated learning with the assistance of the LLM.
33;Data Leakage in Notebooks: Static Detection and Better Processes;Yes;Fairness and bias;Analytical;"Reliable offline accuracy evaluations are important for preventing harm from deploying low-quality models in production systems, where harm can range from stress, to discrimination, to fatal accidents."""
34;DEMAx Tool Based on an Improved Model for Semiautomatic C/C++ Source Code Assessment;No;—;—;
35;Desirable Characteristics for AI Teaching Assistants in Programming Education;Yes;"Academic integrity and misuse; Learner dependency and pedagogical risk";Mention only;There are concerns that students may become overly dependent on these tools for solutions. This calls for built-in 'guardrails' to prevent such misuse
36;Enhancing Programming Education with Open-Source Generative AI Chatbots;No;—;—;
37;Enhancing Programming Error Messages in Real Time with Generative AI;Yes;Consent / IRB approval;Procedural;All students were briefed on the study before participation by one of the authors and then provided consent forms. ... We gained approval for this study by the Abilene Christian University IRB committee
38;EvaAI: A Multi-agent Framework Leveraging Large Language Models for Enhanced Automated Grading;No;—;—;
39;EvalSeer: An Intelligent Gamified System for Programming Assignments Assessment;No;—;—;
40;Evaluating a large language model’s ability to solve programming exercises from an introductory bioinformatics course;No;—;—;
41;Evaluating Copilot on CS1 Code Writing Problems with Suppressed Specifications;No;—;—;
42;Evaluating the Impact of ChatGPT on Exercises of a Software Security Course;Yes;"Academic integrity and misuse; Security";Mention only;"""ChatGPT struggled with answering our questions when: 1) It has ethical issues showing penetration test cases. [...] When we provide ChatGPT with more context, it will stop providing injections because of ethical issues: Please note that providing working SQL injection examples might encourage malicious activities."""
43;Exercise Generation and Student Cognitive Ability Research Based on ChatGPT and Rasch Model;Yes;"Academic integrity and misuse; Learner dependency and pedagogical risk";Mention only;"However, it is important to note that in the application of generative artificial intelligence products and the Rasch model, ethical issues must be carefully addressed, and excessive reliance on technology and misuse should be avoided to ensure the safe use of artificial intelligence in education."""
44;Explainable Artificial Intelligence for Workflow Verification in Visual IoT/Robotics Programming Language Environment;No;—;—;
45;Explaining Code with a Purpose: An Integrated Approach for Developing Code Comprehension and Prompting Skills;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;"""Access to the data involved in this study was approved by the University of Auckland Human Participants Ethics Committee (UAHPEC) under protocol UAHPEC25279."""
46;Exploring the Responses of Large Language Models to Beginner Programmers’ Help Requests;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;The research was conducted in compliance with the local ethical principles and guidelines. To avoid leaking any personal information to third-party services, we manually vetted the inputs that we fed to the LLMs, both during prompt engineering and during the final generation of the responses
47;Feedback-Generation for Programming Exercises With GPT-4;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;This research utilizes submissions from students who explicitly consented to their use (695 out of about 900 students). Consent was fully voluntary, with no negative consequences or disadvantages.
48;Generating Situated Reflection Triggers About Alternative Solution Paths: A Case Study of Generative AI for Computer-Supported Collaborative Learning;Yes;"Fairness and bias; Academic integrity and misuse";Mention only;"""Its accessibility has sparked innovations and debates on its role in education... as well as risks of enabling plagiarism and dissemination of biased information."
49;Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors;No;—;—;
50;Generative AI in the Software Modeling Classroom: An Experience Report with ChatGPT and UML;Yes;Privacy and data protection;Procedural;Out of an overall population of 242 students, the experimental group was formed by 72 students who volunteered, incentivized by a small increment in their course score... A repository including artifacts such as student handouts, survey, and anonymized results can be found at [URL]
51;GPTutor: A ChatGPT-Powered Programming Tool for Code Explanation;No;—;—;
52;Grading Generative AI-based Assignments Using a 3R Framework;Yes;Academic integrity and misuse;Mention only;To facilitate the proper and ethical use of GenAI, there is a strong need to develop guidelines for GenAI-based assignments
53;Grading Programming Assignments by Summarization;No;—;—;
54;Graph Neural Networks for Mapping Variables Between Programs;No;—;—;
55;How Useful TutorBot+ is for Teaching and Learning in Programming Courses: a Preliminary Study;Yes;"Privacy and data protection; Security";Mention only;Sin embargo, la IA también ha planteado preocupaciones sobre la privacidad y la seguridad de los datos de los estudiantes, así como sobre la responsabilidad de los sistemas de IA en la toma de decisiones educativas
56;Identifying Student Profiles Within Online Judge Systems Using Explainable Artificial Intelligence;Yes;Fairness and bias;Mention only;Moreover, other data used to predict student performance, such as socioeconomic background or academic success in other courses, may not be usable from an ethical point of view due to the potential biases it would introduce
57;Intelligent Deep-Learning Tutoring System to Assist Instructors in Programming Courses;Yes;Consent / IRB approval;Procedural;Approval of all ethical and experimental procedures and protocols was granted by the Ethical Comittee URJC under Application No.
58;Investigating the Role of ChatGPT in Supporting Text-Based Programming Education for Students and Teachers;No;—;—;
59;Iris: An AI-Driven Virtual Tutor for Computer Science Education;Yes;"Privacy and data protection; Fairness and bias";Analytical;It is important to navigate ethical concerns, such as ensuring data privacy and promoting equitable access, to maintain trust and fairness in each student’s educational journey. ... This democratization of access to educational support contributes to a more equitable learning environment where every student has an equal opportunity to excel.
60;LLM Generative AI and Students' Exam Code Evaluation: Qualitative and Quantitative Analysis;Yes;Privacy and data protection;Procedural;The data available prior to experiment execution consisted of 50 instances of simple C code... The sample contained no personal information regarding students.
61;Machine Learning based Code Assessment Systems;No;—;—;
62;Monitoring and Facilitating Students Programming Skill Development using Robotic Process Automation (RPA) and Artificial Intelligence (AI) – A Case Study;No;—;—;
63;Monitoring Programming Styles in Massive Open Online Courses Using Source Embedding;No;—;—;
64;Next-Step Hint Generation for Introductory Programming Using Large Language Models;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;Before carrying out the experiment, we evaluated our method with the Ethics and Privacy Quick Scan of Utrecht University. They classified this research as low-risk, with no fuller ethics review or privacy assessment required
65;On the Applicability of Language Models to Block-Based Programs;No;—;—;
66;Online Tutoring and Plagiarism-Aware Authentic Assessment of Database Design Assignments;Yes;Academic integrity and misuse;Mention only;In this paper, we introduce an online tutoring and authentic assessment system, called NoDD, with a focus on reducing online cheating... We believe that requiring the student to spell out the derivation process... subverts the ill effects of available online FD calculators and ChatGPT like solvers.
67;OPTES: A Tool for Behavior-based Student Programming Progress Estimation;Yes;"Privacy and data protection; Consent / IRB approval";Procedural;With IRB approval, the students are informed of the purpose of our study, and the types of data being collected. They join our study as volunteers without rewards provided. ... the personal information of the students, such as ID, are covered by random number.
68;Predicting Student Failure using Peer-based Evaluation and Ratings;No;—;—;
69;Prompt Problems: A New Programming Exercise for the Generative AI Era;No;—;—;
70;Prompting for Comprehension: Exploring the Intersection of Explain in Plain English Questions and Prompt Writing;Yes;Consent / IRB approval;Procedural;Access to the data involved in this study was approved by the University of Auckland Human Participants Ethics Committee (UAHPEC) under protocol UAHPEC25279.
71;PyDex: Repairing Bugs in Introductory Python Assignments using LLMs;No;—;—;
72;Recommendations to Create Programming Exercises to Overcome ChatGPT;Yes;Academic integrity and misuse;Mention only;Universities need to develop policies for the responsible and ethical use of AI models like ChatGPT, clearly communicating the ethical aspects and setting defined boundaries
73;Research on Defect Location Method of C Language Code Based on Deep Learning;No;—;—;
74;Revolutionizing eLearning Assessments: The Role of GPT in Crafting Dynamic Content and Feedback;Yes;Privacy and data protection;Mention only;It reflects on the ethical considerations of AI in education and the steps taken to address them within the Learnix platform. ... ensuring data privacy and the suitability of content for all learners, particularly minors, remains a paramount consideration.
75;SCG_FBS: A Code Grading Model for Students' Program in Programming Education;No;—;—;
76;Speeding Up Automated Assessment of Programming Exercises;No;—;—;
77;Student Mastery or AI Deception? Analyzing ChatGPT's Assessment Proficiency and Evaluating Detection Strategies;Yes;Privacy and data protection;Procedural;The data set for both experiments consisted of 50 anonymized student submissions for CS1 and CS2 assignments... All identifying information was extracted from the submissions
78;Student Outcome Assessment on Structured Query Language using Rubrics and Automated Feedback Generation;No;—;—;
79;Student's Academic Performance Prediction in The Programming Techniques Course By Using Machine Learning Methods;No;—;—;
80;SynShine: Improved Fixing of Syntax Errors;Yes;Privacy and data protection;Procedural;We have made all the source-code and data available, to the extent allowable under UK Law applicable to the Blackbox dataset.
81;System for Detecting Learner Stuck in Programming Learning;Yes;Consent / IRB approval;Procedural;"Institutional Review Board Statement: The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Ethics Committee of Kobe University (No. 04-13, June 2022 and 04-21, October 2022). Informed Consent Statement: Informed consent was obtained from all subjects involved in the study."""
82;The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering;Yes;Academic integrity and misuse;Mention only;Nevertheless, the application of ChatGPT in education has raised concerns about academic integrity, that students may submit generated work without effort, prompting calls for improved detection methods.
83;Tinkering Behavior Detector Using Multiple Linear Regression: Development of Intelligent Tutoring System for Novice C Programmers;No;—;—;
84;Toward semi-automatic misconception discovery using code embeddings;No;—;—;
85;Towards Deep Learning Models for Automatic Computer Program Grading;No;—;—;
86;Traditional and AI Tools for Teaching Concurrency;Yes;Academic integrity and misuse;Mention only;It has been shown that ChatGPT can solve many introductory problems, leading to fears of plagiarism - not from humans but from AI tools. ... On the other hand, if they do not directly use AI to do so – which can be the results of following an honor code or doing the problem in class under supervision
87;Unveiling Hidden Patterns: Clustering Algorithms on C Code embedding;No;—;—;
88;Using Machine Learning to Identify Patterns in Learner-Submitted Code for the Purpose of Assessment;No;—;—;
89;A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading;Yes;"Privacy and data protection; Transparency and accountability; Fairness and bias";Procedural;"The experiment was structured into four main phases: (1) Data preparation and export—collecting and anonymizing student code submissions from the LMS."" ""Furthermore, it is important to establish clear ethical guidelines for the use of AI in education, including data privacy, academic integrity, and transparency of grading"
90;A Knowledge-Component-Based Methodology for Evaluating AI Assistants;Yes;"Academic integrity and misuse; Learner dependency and pedagogical risk";Mention only;Detecting AI-generated code has become a priority to prevent plagiarism. Even with controlled usage... these tools open the door for over-reliance and, as a result, stunted critical problem-solving skills
91;A Study of Automated Evaluation of Programming Short-Answer Questions Based on Large Language Models;No;—;—;
92;Advanced Deep Learning Model for Improving Student Evaluation in Programming Education;No;—;—;
93;Ai-Based Automated Grading of Source Code of Introductory Programming Assignments;Yes;Privacy and data protection;Procedural;"""Student codes that were submitted to the course management application were collected, anonymized, and bundled with the corresponding problem statements and rubrics."""
94;Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments;Yes;"Transparency and accountability; Academic integrity and misuse";Analytical;"""Our semi-automated approach also aligns with ethical guidelines, promoting responsible AI by mitigating risks associated with unverified autonomous AI operation in high-stakes application domains."""
95;Automated Assessment of Student Self-Explanation in Code Comprehension Using Pre-Trained Language Models;Yes;"Transparency and accountability; Fairness and bias";Mention only;"""Moreover, ethical considerations around fairness, transparency, and accountability must also be addressed before adopting these technologies and models into educational settings"
96;Automated Grading Method of Python Code Submissions Using Large Language Models and Machine Learning;No;—;—;
