study_id;title;year;reported_tool_or_model;extracted_technique_family;primary_family;technique_notes
1;A bidirectional lstm language model for code evaluation and repair;2021;"RNNs; LSTM; BiLSTM; Softmax; Adam Optimizer";Neural networks reported generically (ANN);Neural networks reported generically;"Reported tools/models or techniques: RNNs; LSTM; BiLSTM; Softmax; Adam Optimizer"
2;A Code-Driven Exploration of Key C Language Concepts in a CS1 Class;2024;"ASAP; Valgrind; PVS-Studio; CppCheck; CQMetrics; Pycparser; Random Forest";Classical machine learning;Classical machine learning;"Reported tools/models or techniques: ASAP; Valgrind; PVS-Studio; CppCheck; CQMetrics; Pycparser; Random Forest"
3;A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading;2025;"ChatGPT-4; GPT-4-turbo; Claude 3; Gemini 1.5 Pro";"LLM-based approaches; rubric-based assessment";Hybrid or multiple techniques;"Reported tools/models or techniques: ChatGPT-4; GPT-4-turbo; Claude 3; Gemini 1.5 Pro"
4;A Fast and Accurate Machine Learning Autograder for the Breakout Assignment;2024;DreamGrader;Other or unclear technique description;Other / custom / unclear;Reported tools/models or techniques: DreamGrader
5;A Knowledge-Component-Based Methodology for Evaluating AI Assistants;2025;GPT-4;"Hybrid pipeline; tests; LLM; knowledge-component classification";Hybrid or multiple techniques;Reported tools/models or techniques: GPT-4
6;A Machine Learning-Based Adaptive Feedback System to Enhance Programming Skill Using Computational Thinking;2024;"K-means; Elbow";Other or unclear technique description;Other / custom / unclear;"Reported tools/models or techniques: K-means; Elbow"
7;A model with iterative trials for correcting logic errors in source code;2021;"LSTM-LM; Support Vector Machine; SVM; Attention Mechanism; LSTM; GPT-3; Seq2Seq";Other or unclear technique description;Other / custom / unclear;"Reported tools/models or techniques: LSTM-LM; Support Vector Machine; SVM; Attention Mechanism; LSTM; GPT-3; Seq2Seq"
8;A multilayer inference engine for individualized tutoring model: adapting learning material and its granularity;2023;"LSTM-LM; Support Vector Machine; SVM; TensorFlow; Scikit-learn";Other or unclear technique description;Other / custom / unclear;"Reported tools/models or techniques: LSTM-LM; Support Vector Machine; SVM; TensorFlow; Scikit-learn"
9;A Novel Graph Neural Network-Based Automated Fault Localization Technique for Novice Programs;2023;GGNN;Neural networks reported generically (ANN);Neural networks reported generically;Reported tools/models or techniques: GGNN
10;A Novel Rule-Based Online Judge Recommender System to Promote Computer Programming Education;2021;Not reported;Custom algorithms / other;Other / custom / unclear;"Reported tools/models or techniques: K-means; FP-growth; Elbow"
11;A Personalized Learning Framework for Software Vulnerability Detection and Education;2021;"CyBERT; Snyk; Dependabot";Classical machine learning;Classical machine learning;"Reported tools/models or techniques: CyBERT; Snyk; Dependabot"
12;A Study of Automated Evaluation of Programming Short-Answer Questions Based on Large Language Models;2025;Not reported;"LLM-based approaches; rubric-based assessment";Hybrid or multiple techniques;"Technique described as: LLM-based approaches; rubric-based assessment"
13;AceCoder: An Effective Prompting Technique Specialized in Code Generation;2024;"Lucene; GPT-3.5; CodeGeeX; CodeGen; InCoder; Sentence-BERT; tree-sitter";LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: Lucene; GPT-3.5; CodeGeeX; CodeGen; InCoder; Sentence-BERT; tree-sitter; BERT"
14;Advanced Deep Learning Model for Improving Student Evaluation in Programming Education;2025;Not reported;"Deep learning models; NLP-for-code / transformer embeddings";Hybrid or multiple techniques;"Reported tools/models or techniques: UniXcoder; Random Forest; AdaBoost; Balanced Bagging; MLP"
15;Ai-Based Automated Grading of Source Code of Introductory Programming Assignments;2025;Not reported;"LLM-based approach; prompting";Hybrid or multiple techniques;"Technique described as: LLM-based approach; prompting"
16;AI-Tutoring in Software Engineering Education Experiences with Large Language Models in Programming Assessments;2024;GPT-3.5-Turbo;LLM-based approaches;LLM-based approaches;"Reported tools/models or techniques: GPT-3.5-Turbo; BERT"
17;An AI-based Approach for Grading Students’ Collaboration;2023;"jFuzzyLogic; random forest";"Neural networks reported generically (ANN); Other or unclear technique description";Hybrid or multiple techniques;"Reported tools/models or techniques: jFuzzyLogic; random forest"
18;An Evaluation of code2vec Embeddings for Scratch;2022;code2vec;"Neural networks reported generically (ANN); Other or unclear technique description";Hybrid or multiple techniques;"Reported tools/models or techniques: code2vec; XGBoost"
